LD SP,d16           instruction:0x31 AF:0x0000 BC:0x0000 DE:0x0000 HL:0x0000 PC:0x0000 SP:0x0000
XOR A               instruction:0xaf AF:0x0000 BC:0x0000 DE:0x0000 HL:0x0000 PC:0x0003 SP:0xfffe
LD HL,d16           instruction:0x21 AF:0x0080 BC:0x0000 DE:0x0000 HL:0x0000 PC:0x0004 SP:0xfffe
LD (HL-),A          instruction:0x32 AF:0x0080 BC:0x0000 DE:0x0000 HL:0x9fff PC:0x0007 SP:0xfffe
BIT 7,H             instruction:0x7c AF:0x0080 BC:0x0000 DE:0x0000 HL:0x9ffe PC:0x0008 SP:0xfffe
JR NZ,r8            instruction:0x20 AF:0x0020 BC:0x0000 DE:0x0000 HL:0x9ffe PC:0x000a SP:0xfffe
LD (HL-),A          instruction:0x32 AF:0x0020 BC:0x0000 DE:0x0000 HL:0x9ffe PC:0x0007 SP:0xfffe
BIT 7,H             instruction:0x7c AF:0x0020 BC:0x0000 DE:0x0000 HL:0x9ffd PC:0x0008 SP:0xfffe
JR NZ,r8            instruction:0x20 AF:0x0020 BC:0x0000 DE:0x0000 HL:0x9ffd PC:0x000a SP:0xfffe
LD (HL-),A          instruction:0x32 AF:0x0020 BC:0x0000 DE:0x0000 HL:0x9ffd PC:0x0007 SP:0xfffe
BIT 7,H             instruction:0x7c AF:0x0020 BC:0x0000 DE:0x0000 HL:0x9ffc PC:0x0008 SP:0xfffe
JR NZ,r8            instruction:0x20 AF:0x0020 BC:0x0000 DE:0x0000 HL:0x9ffc PC:0x000a SP:0xfffe
LD (HL-),A          instruction:0x32 AF:0x0020 BC:0x0000 DE:0x0000 HL:0x9ffc PC:0x0007 SP:0xfffe
BIT 7,H             instruction:0x7c AF:0x0020 BC:0x0000 DE:0x0000 HL:0x9ffb PC:0x0008 SP:0xfffe
JR NZ,r8            instruction:0x20 AF:0x0020 BC:0x0000 DE:0x0000 HL:0x9ffb PC:0x000a SP:0xfffe
LD (HL-),A          instruction:0x32 AF:0x0020 BC:0x0000 DE:0x0000 HL:0x9ffb PC:0x0007 SP:0xfffe
BIT 7,H             instruction:0x7c AF:0x0020 BC:0x0000 DE:0x0000 HL:0x9ffa PC:0x0008 SP:0xfffe
JR NZ,r8            instruction:0x20 AF:0x0020 BC:0x0000 DE:0x0000 HL:0x9ffa PC:0x000a SP:0xfffe
LD (HL-),A          instruction:0x32 AF:0x0020 BC:0x0000 DE:0x0000 HL:0x9ffa PC:0x0007 SP:0xfffe
BIT 7,H             instruction:0x7c AF:0x0020 BC:0x0000 DE:0x0000 HL:0x9ff9 PC:0x0008 SP:0xfffe
JR NZ,r8            instruction:0x20 AF:0x0020 BC:0x0000 DE:0x0000 HL:0x9ff9 PC:0x000a SP:0xfffe
LD (HL-),A          instruction:0x32 AF:0x0020 BC:0x0000 DE:0x0000 HL:0x9ff9 PC:0x0007 SP:0xfffe
BIT 7,H             instruction:0x7c AF:0x0020 BC:0x0000 DE:0x0000 HL:0x9ff8 PC:0x0008 SP:0xfffe
JR NZ,r8            instruction:0x20 AF:0x0020 BC:0x0000 DE:0x0000 HL:0x9ff8 PC:0x000a SP:0xfffe
LD (HL-),A          instruction:0x32 AF:0x0020 BC:0x0000 DE:0x0000 HL:0x9ff8 PC:0x0007 SP:0xfffe
BIT 7,H             instruction:0x7c AF:0x0020 BC:0x0000 DE:0x0000 HL:0x9ff7 PC:0x0008 SP:0xfffe
JR NZ,r8            instruction:0x20 AF:0x0020 BC:0x0000 DE:0x0000 HL:0x9ff7 PC:0x000a SP:0xfffe
LD (HL-),A          instruction:0x32 AF:0x0020 BC:0x0000 DE:0x0000 HL:0x9ff7 PC:0x0007 SP:0xfffe
BIT 7,H             instruction:0x7c AF:0x0020 BC:0x0000 DE:0x0000 HL:0x9ff6 PC:0x0008 SP:0xfffe
JR NZ,r8            instruction:0x20 AF:0x0020 BC:0x0000 DE:0x0000 HL:0x9ff6 PC:0x000a SP:0xfffe
LD (HL-),A          instruction:0x32 AF:0x0020 BC:0x0000 DE:0x0000 HL:0x9ff6 PC:0x0007 SP:0xfffe
BIT 7,H             instruction:0x7c AF:0x0020 BC:0x0000 DE:0x0000 HL:0x9ff5 PC:0x0008 SP:0xfffe
JR NZ,r8            instruction:0x20 AF:0x0020 BC:0x0000 DE:0x0000 HL:0x9ff5 PC:0x000a SP:0xfffe
LD (HL-),A          instruction:0x32 AF:0x0020 BC:0x0000 DE:0x0000 HL:0x9ff5 PC:0x0007 SP:0xfffe
BIT 7,H             instruction:0x7c AF:0x0020 BC:0x0000 DE:0x0000 HL:0x9ff4 PC:0x0008 SP:0xfffe
JR NZ,r8            instruction:0x20 AF:0x0020 BC:0x0000 DE:0x0000 HL:0x9ff4 PC:0x000a SP:0xfffe
LD (HL-),A          instruction:0x32 AF:0x0020 BC:0x0000 DE:0x0000 HL:0x9ff4 PC:0x0007 SP:0xfffe
BIT 7,H             instruction:0x7c AF:0x0020 BC:0x0000 DE:0x0000 HL:0x9ff3 PC:0x0008 SP:0xfffe
JR NZ,r8            instruction:0x20 AF:0x0020 BC:0x0000 DE:0x0000 HL:0x9ff3 PC:0x000a SP:0xfffe
LD (HL-),A          instruction:0x32 AF:0x0020 BC:0x0000 DE:0x0000 HL:0x9ff3 PC:0x0007 SP:0xfffe
BIT 7,H             instruction:0x7c AF:0x0020 BC:0x0000 DE:0x0000 HL:0x9ff2 PC:0x0008 SP:0xfffe
JR NZ,r8            instruction:0x20 AF:0x0020 BC:0x0000 DE:0x0000 HL:0x9ff2 PC:0x000a SP:0xfffe
LD (HL-),A          instruction:0x32 AF:0x0020 BC:0x0000 DE:0x0000 HL:0x9ff2 PC:0x0007 SP:0xfffe
BIT 7,H             instruction:0x7c AF:0x0020 BC:0x0000 DE:0x0000 HL:0x9ff1 PC:0x0008 SP:0xfffe
JR NZ,r8            instruction:0x20 AF:0x0020 BC:0x0000 DE:0x0000 HL:0x9ff1 PC:0x000a SP:0xfffe
LD (HL-),A          instruction:0x32 AF:0x0020 BC:0x0000 DE:0x0000 HL:0x9ff1 PC:0x0007 SP:0xfffe
BIT 7,H             instruction:0x7c AF:0x0020 BC:0x0000 DE:0x0000 HL:0x9ff0 PC:0x0008 SP:0xfffe
JR NZ,r8            instruction:0x20 AF:0x0020 BC:0x0000 DE:0x0000 HL:0x9ff0 PC:0x000a SP:0xfffe
LD (HL-),A          instruction:0x32 AF:0x0020 BC:0x0000 DE:0x0000 HL:0x9ff0 PC:0x0007 SP:0xfffe
BIT 7,H             instruction:0x7c AF:0x0020 BC:0x0000 DE:0x0000 HL:0x9fef PC:0x0008 SP:0xfffe
JR NZ,r8            instruction:0x20 AF:0x0020 BC:0x0000 DE:0x0000 HL:0x9fef PC:0x000a SP:0xfffe
LD (HL-),A          instruction:0x32 AF:0x0020 BC:0x0000 DE:0x0000 HL:0x9fef PC:0x0007 SP:0xfffe
BIT 7,H             instruction:0x7c AF:0x0020 BC:0x0000 DE:0x0000 HL:0x9fee PC:0x0008 SP:0xfffe
JR NZ,r8            instruction:0x20 AF:0x0020 BC:0x0000 DE:0x0000 HL:0x9fee PC:0x000a SP:0xfffe
